skill_name,category,purpose,trigger_examples,how_to_use,location
imagegen,影像生成,"產生或編修點陣圖片，例如插圖、mockup、素材、透明背景圖片。","產生圖片; 編輯這張圖; 做一張示意圖","使用 imagegen，幫我產生一張巡檢系統架構示意圖。","C:/Users/User/.codex/skills/.system/imagegen/SKILL.md"
openai-docs,OpenAI 文件,"查 OpenAI API、模型、Agents SDK、ChatGPT Apps 等官方文件與最新用法。","OpenAI API 怎麼用; 最新模型; Agents SDK","使用 openai-docs，查 OpenAI API 的 structured outputs 官方用法。","C:/Users/User/.codex/skills/.system/openai-docs/SKILL.md"
plugin-creator,Plugin 建立,"建立 Codex plugin 目錄與 .codex-plugin/plugin.json。","建立 plugin; scaffold plugin","使用 plugin-creator，幫我建立一個本地 Codex plugin。","C:/Users/User/.codex/skills/.system/plugin-creator/SKILL.md"
skill-creator,Skill 建立,"建立或更新 Codex Skill，整理觸發語、流程、references。","建立 skill; 更新 skill; 全域 skill","使用 skill-creator，幫我新增一個 webitgpt 維運 Skill。","C:/Users/User/.codex/skills/.system/skill-creator/SKILL.md"
skill-installer,Skill 安裝,"從 curated list 或 GitHub repo 安裝 Codex Skill。","安裝 skill; list installable skills","使用 skill-installer，列出可安裝的 skills。","C:/Users/User/.codex/skills/.system/skill-installer/SKILL.md"
ai-runtime-builder,AI Runtime,"建立 AI debug loop、自動開發迴圈、agent runtime、DevSecOps pipeline、審計與人工核准流程。","AI debug loop; ai-runtime-builder; agent runtime","使用 ai-runtime-builder，幫 webitgpt 建立最小 AI debug loop。","C:/Users/User/.codex/skills/ai-runtime-builder/SKILL.md"
browser-use:browser,瀏覽器測試,"操作 Codex 內建瀏覽器，開頁、點擊、截圖、驗證 localhost 或 file URL。","用瀏覽器測試; 點這個按鈕; 截圖","使用 browser，打開 http://192.168.1.221:8002/hosts 並檢查畫面。","C:/Users/User/.codex/plugins/cache/openai-bundled/browser-use/0.1.0-alpha2/skills/browser/SKILL.md"
documents:documents,Word 文件,"建立、修改、渲染與檢查 .docx 文件。","做 Word; 修改 docx; redline 文件","使用 documents，幫我產出巡檢系統交付文件 docx。","C:/Users/User/.codex/plugins/cache/openai-primary-runtime/documents/26.430.10722/skills/documents/SKILL.md"
presentations:Presentations,簡報,"建立、修改、渲染與驗證 PowerPoint/PPTX。","做 PPT; 簡報; 投影片","使用 presentations，幫我做資訊戰情室專案簡報。","C:/Users/User/.codex/plugins/cache/openai-primary-runtime/presentations/26.430.10722/skills/presentations/SKILL.md"
spreadsheets:Spreadsheets,試算表,"建立、修改、分析、視覺化 xlsx/csv/tsv，含公式、格式、圖表。","做 Excel; 分析 CSV; 產 xlsx","使用 spreadsheets，幫我整理帳號盤點差異 Excel。","C:/Users/User/.codex/plugins/cache/openai-primary-runtime/spreadsheets/26.430.10722/skills/spreadsheets/SKILL.md"
slack:slack,Slack,"讀取 Slack context、分析 Slack 資訊、路由 Slack 工作流。","看 Slack; Slack 摘要; Slack 訊息","使用 slack，幫我整理今天專案頻道重點。","C:/Users/User/.codex/plugins/cache/openai-curated/slack/b8edb371/skills/slack/SKILL.md"
